Time,cart_e,cart_n,cart_u,vel_e,vel_n,vel_u,desired_e,desired_n,desired_u
1613115943.573799,0.13018479381285863,0.1880973646754317,6.05,0.004567149095237255,0.003382701426744461,-0.07367712259292603,0.18456714909523741,-0.17661729857325556,-0.04597159662315713
1613115943.675096,0.13018479381285863,0.1880973646754317,6.05,0.004567149095237255,0.003382701426744461,-0.07367712259292603,0.18456714909523741,-0.17661729857325556,-0.04597159662315713
1613115943.783808,0.13018479351861242,0.18809736447002923,6.048,0.017065079882740974,0.04687356576323509,0.014869395643472672,0.19706507988274113,-0.1331264342367649,-0.05336316074810276
1613115943.880162,0.13018479366166982,0.17703281355168235,6.043,0.008470175787806511,0.012659382075071335,-0.013116993010044098,0.18847017578780667,-0.1673406179249287,-0.04495366880837532
1613115943.989016,0.13018479366166982,0.17703281355168235,6.04,0.0892440527677536,-0.0927858054637909,0.052595898509025574,0.26924405276775376,-0.1808941143025551,-0.04880469048740556
1613115944.079517,0.14103352596943125,0.15490371163756078,6.04,0.07614237070083618,-0.15397968888282776,-0.023548651486635208,0.25614237070083634,-0.15043297163149955,-0.04059380919775355
1613115944.18195,0.16273099161907753,0.12171005945531502,6.037,0.17869751155376434,-0.17280980944633484,-0.03758715093135834,0.25614237070083634,-0.11260881663727995,-0.03584501376675234
1613115944.289514,0.18442845762047494,0.09958095796497343,6.039,0.1594180017709732,-0.15887106955051422,-0.10678871721029282,0.3586975115537645,-0.11260881663727995,-0.03584501376675234
1613115944.378536,0.20612592370618235,0.08851640717744251,6.034,0.1594180017709732,-0.15887106955051422,-0.10678871721029282,0.33941800177097337,-0.0783182200578418,-0.025147829470432974
1613115944.475658,0.20612592370618235,0.08851640717744251,6.034,0.1898169368505478,-0.1382400244474411,-0.06498481333255768,0.36981693685054795,-0.08054292375932066,-0.029655662167634125
1613115944.577105,0.23867212139914407,0.07745185696101778,6.023,0.18209920823574066,-0.09155528247356415,-0.08725778758525848,0.3620992082357408,-0.07364585484041632,-0.015392294802799404
1613115944.677098,0.26036958724811,0.0774518564545856,6.015,0.2263578325510025,-0.029910460114479065,-0.1096591204404831,0.40635783255100266,-0.0802931891139583,-0.004350070664311396
1613115944.780373,0.29291578498114496,0.06638730621595143,6.013,0.30957654118537903,-0.05414806306362152,0.011029345914721489,0.48957654118537924,-0.06574836396294748,-0.015207591583757856
1613115944.880312,0.29291578498114496,0.06638730621595143,6.013,0.30957654118537903,-0.05414806306362152,0.011029345914721489,0.48957654118537924,-0.06574836396294748,-0.015207591583757856
1613115944.988672,0.35800818277839563,0.055322756111369845,6.01,0.3367372155189514,-0.09204655885696411,-0.0520777553319931,0.5167372155189517,-0.04973044640474694,-0.005167590617123215
1613115945.074842,0.4122518462989978,0.022129104825920506,6.001,0.4538470506668091,-0.03202225640416145,0.020862668752670288,0.6338470506668092,-0.02040938690748293,-0.0033280084973185435
1613115945.177828,0.4773442417824991,0.011064554630524547,5.998,0.44350212812423706,-0.05132777988910675,0.049614787101745605,0.6235021281242372,-0.006396401823084875,-0.0031934459041996557
1613115945.276555,0.5207391736639053,5.0651132325262876e-09,5.991,0.5040827393531799,0.009696443565189838,-0.0018663015216588974,0.6840827393531801,-0.0010456002818396814,0.009906202037529047
1613115945.378648,0.5749828365011621,5.8534158015209566e-09,5.982,0.5076037049293518,0.036922700703144073,-0.00045447051525115967,0.687603704929352,-0.003981485122719438,0.019458913811588038
1613115945.483877,0.5749828365011621,5.8534158015209566e-09,5.982,0.5076037049293518,0.036922700703144073,-0.00045447051525115967,0.687603704929352,-0.003981485122719438,0.019458913811588038
1613115945.581797,0.6509239642195106,0.022129109418729254,5.975,0.6005932688713074,0.1349157691001892,0.020016640424728394,0.7805932688713074,-0.03841078933659059,0.024799753418669485
1613115945.676528,0.7485625590267211,0.03319366242529293,5.977,0.6661282777786255,0.0843617394566536,0.08733995258808136,0.8461282777786255,-0.04489062507678558,0.015383434719124588
1613115945.776674,0.8245036882349012,0.0331936644045245,5.979,0.7212280035018921,0.09700044244527817,0.027108855545520782,0.9012280035018921,-0.046253494151631186,0.019721667225427113
1613115945.874547,0.9112935495987549,0.03319366716103905,5.978,0.7934446334838867,0.046463172882795334,0.0066855293698608875,0.9734446334838868,-0.040803921007260394,0.023002300175243854
1613115945.975841,0.9980834110162194,0.03319367035017287,5.976,0.8582955598831177,0.021046586334705353,0.11045827716588974,1.0382955598831176,-0.03806318233206388,0.013968848831708881
1613115946.077605,1.1065707395935884,0.033193674375564135,5.975,0.9306537508964539,-0.014049144461750984,0.040196433663368225,1.110653750896454,-0.03427871517269908,0.02262370947669811
1613115946.18505,1.2476042643838048,0.03319368027835279,5.975,1.042878270149231,-0.01192159578204155,0.06825189292430878,1.110653750896454,-0.03427871517269908,0.01959841028547066
1613115946.29402,1.3669403252508743,0.03319368593573692,5.973,1.0870150327682495,-0.002141396515071392,0.00404026173055172,1.222878270149231,-0.035562773638011684,0.028679187661911666
1613115946.387619,1.3669403252508743,0.03319368593573692,5.973,1.0870150327682495,-0.002141396515071392,0.00404026173055172,1.2670150327682494,-0.035562773638011684,0.028679187661911666
1613115946.499308,1.6490073726615724,0.022129150840491017,5.969,1.2094820737838745,0.006306454539299011,0.07341744750738144,1.3000000000000003,-0.03647373802255786,0.022276378481806303
1613115946.581126,1.6490073726615724,0.022129150840491017,5.969,1.2608559131622314,-0.017881371080875397,0.04448919743299484,1.3000000000000003,-0.0219342880189671,0.028630777660674636
1613115946.678044,1.8117383647864072,0.02212916081288092,5.968,1.2935750484466553,-0.046651504933834076,0.051010243594646454,1.3000000000000003,-0.018831934207086835,0.029005923051651568
1613115946.778438,1.9853180904314645,0.0221291728841861,5.979,1.3745596408843994,0.017906181514263153,0.07611676305532455,1.3000000000000003,-0.02579338438245261,0.014437006526267743
1613115946.87571,2.104654154268538,0.022129182104643305,5.986,1.400762677192688,-0.031765639781951904,0.09693153202533722,1.3000000000000003,-0.020437141932448284,0.0046441942054593136
1613115946.98073,2.2456876831258668,0.02212919290304425,5.993,1.447800636291504,0.005037326365709305,0.1195167750120163,1.2999999999999952,-0.02440572107313047,-0.00533953331516529
1613115947.078578,2.3975699421865144,0.022129205707603242,5.996,1.4160462617874146,-0.02542356215417385,0.04740014672279358,1.299999999999996,-0.021121051477457513,-0.0007979786638750144
1613115947.180491,2.57114966810927,0.011064670342953534,5.997,1.368804931640625,-0.0004664529114961624,-0.01519601047039032,1.2999999999999972,-0.011881046739645764,0.004873613105066632
